order_id,date,store_id,product_id,city,category,quantity,gmv,order_status,is_promo,refund_flag
O0000044,2026-05-01,S003,P018,Hangzhou,Beauty,1,66.0,completed,0,0
O0000045,2026-05-01,S003,P008,Hangzhou,Snack,1,63.0,completed,0,0
O0000046,2026-05-01,S003,P003,Hangzhou,Coffee,1,81.0,completed,0,0
O0000047,2026-05-01,S003,P020,Hangzhou,Beauty,3,165.0,refunded,0,1
O0000048,2026-05-01,S003,P011,Hangzhou,Dairy,1,45.0,completed,0,0
O0000049,2026-05-01,S003,P011,Hangzhou,Dairy,1,45.0,completed,0,0
O0000050,2026-05-01,S004,P010,Hangzhou,Dairy,1,65.0,completed,0,0
O0000051,2026-05-01,S004,P019,Hangzhou,Beauty,1,50.0,completed,0,0
O0000052,2026-05-01,S004,P008,Hangzhou,Snack,3,189.0,completed,0,0
O0000053,2026-05-01,S004,P012,Hangzhou,Dairy,1,73.0,completed,0,0
O0000054,2026-05-01,S005,P008,Ningbo,Snack,1,63.0,completed,0,0
O0000055,2026-05-01,S005,P005,Ningbo,Snack,1,47.0,completed,0,0
O0000056,2026-05-01,S005,P011,Ningbo,Dairy,1,45.0,refunded,0,1
O0000057,2026-05-01,S005,P014,Ningbo,Ready Meal,3,192.0,completed,0,0
O0000058,2026-05-01,S006,P015,Shanghai,Ready Meal,2,146.0,completed,0,0
O0000059,2026-05-01,S006,P018,Shanghai,Beauty,3,198.0,completed,0,0
O0000060,2026-05-01,S006,P003,Shanghai,Coffee,1,81.0,completed,0,0
O0000061,2026-05-01,S006,P014,Shanghai,Ready Meal,1,64.0,completed,0,0
O0000062,2026-05-01,S006,P001,Shanghai,Coffee,3,249.0,completed,0,0
O0000063,2026-05-01,S006,P020,Shanghai,Beauty,1,55.0,completed,0,0
O0000064,2026-05-01,S006,P015,Shanghai,Ready Meal,2,146.0,completed,0,0
O0000065,2026-05-01,S006,P018,Shanghai,Beauty,1,66.0,completed,0,0
O0000066,2026-05-01,S006,P017,Shanghai,Beauty,2,96.0,completed,0,0
O0000067,2026-05-01,S006,P018,Shanghai,Beauty,2,132.0,completed,0,0
O0000068,2026-05-01,S006,P008,Shanghai,Snack,3,189.0,completed,0,0
O0000069,2026-05-01,S006,P019,Shanghai,Beauty,1,50.0,completed,0,0
O0000070,2026-05-01,S006,P007,Shanghai,Snack,3,165.0,completed,0,0
O0000071,2026-05-01,S006,P017,Shanghai,Beauty,3,144.0,completed,0,0
O0000072,2026-05-01,S006,P011,Shanghai,Dairy,1,45.0,completed,0,0
O0000073,2026-05-01,S006,P012,Shanghai,Dairy,1,73.0,completed,0,0
O0000074,2026-05-01,S006,P020,Shanghai,Beauty,3,165.0,completed,0,0
O0000075,2026-05-01,S006,P015,Shanghai,Ready Meal,2,146.0,completed,0,0
O0000076,2026-05-01,S006,P001,Shanghai,Coffee,2,166.0,completed,0,0
O0000077,2026-05-01,S007,P019,Nanjing,Beauty,1,50.0,completed,0,0
O0000078,2026-05-01,S007,P018,Nanjing,Beauty,2,132.0,completed,0,0
O0000079,2026-05-01,S007,P014,Nanjing,Ready Meal,1,64.0,completed,0,0
O0000080,2026-05-01,S007,P018,Nanjing,Beauty,1,66.0,completed,0,0
O0000081,2026-05-01,S007,P004,Nanjing,Coffee,1,40.0,completed,0,0
O0000082,2026-05-01,S007,P005,Nanjing,Snack,3,141.0,completed,0,0
O0000083,2026-05-01,S007,P015,Nanjing,Ready Meal,1,73.0,completed,0,0
O0000084,2026-05-01,S007,P002,Nanjing,Coffee,3,207.0,completed,0,0
O0000085,2026-05-01,S007,P008,Nanjing,Snack,3,189.0,completed,0,0
O0000086,2026-05-01,S007,P002,Nanjing,Coffee,1,69.0,completed,0,0
O0000087,2026-05-01,S007,P015,Nanjing,Ready Meal,2,146.0,completed,0,0
O0000088,2026-05-01,S007,P016,Nanjing,Ready Meal,1,12.0,completed,0,0
O0000089,2026-05-01,S008,P015,Shanghai,Ready Meal,1,73.0,completed,0,0
O0000090,2026-05-01,S008,P014,Shanghai,Ready Meal,1,64.0,completed,0,0
O0000091,2026-05-01,S008,P004,Shanghai,Coffee,1,40.0,refunded,0,1
O0000092,2026-05-01,S008,P007,Shanghai,Snack,2,110.0,completed,0,0
O0000093,2026-05-01,S008,P001,Shanghai,Coffee,2,166.0,completed,0,0
O0000094,2026-05-01,S008,P015,Shanghai,Ready Meal,2,146.0,completed,0,0
O0000095,2026-05-01,S008,P011,Shanghai,Dairy,1,45.0,completed,0,0
O0000096,2026-05-01,S008,P019,Shanghai,Beauty,3,150.0,completed,0,0
O0000097,2026-05-01,S008,P019,Shanghai,Beauty,2,100.0,completed,0,0
O0000098,2026-05-01,S008,P013,Shanghai,Ready Meal,1,30.0,completed,0,0
O0000099,2026-05-01,S008,P002,Shanghai,Coffee,1,69.0,completed,0,0
O0000100,2026-05-01,S008,P003,Shanghai,Coffee,2,162.0,completed,0,0
O0000101,2026-05-01,S008,P008,Shanghai,Snack,1,63.0,completed,0,0
O0000102,2026-05-01,S008,P005,Shanghai,Snack,1,47.0,refunded,0,1
O0000103,2026-05-01,S008,P013,Shanghai,Ready Meal,1,30.0,completed,0,0
O0000104,2026-05-01,S008,P017,Shanghai,Beauty,3,144.0,completed,0,0
O0000105,2026-05-01,S008,P005,Shanghai,Snack,3,141.0,completed,0,0
O0000106,2026-05-01,S008,P006,Shanghai,Snack,1,22.0,completed,0,0
O0000107,2026-05-01,S008,P015,Shanghai,Ready Meal,2,146.0,completed,0,0
O0000108,2026-05-01,S008,P014,Shanghai,Ready Meal,1,64.0,completed,0,0
O0000109,2026-05-01,S008,P010,Shanghai,Dairy,2,130.0,completed,0,0
O0000110,2026-05-01,S008,P018,Shanghai,Beauty,3,198.0,completed,0,0
O0000111,2026-05-01,S009,P018,Hangzhou,Beauty,1,66.0,completed,0,0
O0000112,2026-05-01,S009,P002,Hangzhou,Coffee,1,69.0,completed,0,0
O0000113,2026-05-01,S009,P002,Hangzhou,Coffee,1,69.0,completed,0,0
O0000114,2026-05-01,S009,P003,Hangzhou,Coffee,1,81.0,completed,0,0
O0000115,2026-05-01,S009,P003,Hangzhou,Coffee,3,243.0,completed,0,0
O0000116,2026-05-01,S009,P018,Hangzhou,Beauty,1,66.0,completed,0,0
O0000117,2026-05-01,S009,P005,Hangzhou,Snack,3,141.0,completed,0,0
O0000118,2026-05-01,S009,P020,Hangzhou,Beauty,2,110.0,completed,0,0
O0000119,2026-05-01,S009,P001,Hangzhou,Coffee,1,83.0,completed,0,0
O0000120,2026-05-01,S009,P013,Hangzhou,Ready Meal,1,30.0,completed,0,0
O0000121,2026-05-01,S009,P009,Hangzhou,Dairy,1,60.0,completed,0,0
O0000122,2026-05-01,S009,P020,Hangzhou,Beauty,2,110.0,completed,0,0
O0000123,2026-05-01,S009,P012,Hangzhou,Dairy,2,146.0,completed,0,0
O0000124,2026-05-01,S009,P015,Hangzhou,Ready Meal,1,73.0,completed,0,0
O0000125,2026-05-01,S009,P014,Hangzhou,Ready Meal,2,128.0,completed,0,0
O0000126,2026-05-01,S009,P003,Hangzhou,Coffee,3,243.0,completed,0,0
O0000127,2026-05-01,S009,P003,Hangzhou,Coffee,1,81.0,completed,0,0
O0000128,2026-05-01,S009,P004,Hangzhou,Coffee,1,40.0,completed,0,0
O0000129,2026-05-01,S009,P019,Hangzhou,Beauty,2,100.0,completed,0,0
O0000130,2026-05-01,S009,P009,Hangzhou,Dairy,1,60.0,completed,0,0
O0000131,2026-05-01,S010,P003,Wuxi,Coffee,1,81.0,completed,0,0
O0000132,2026-05-01,S010,P010,Wuxi,Dairy,1,65.0,completed,0,0
O0000133,2026-05-01,S010,P019,Wuxi,Beauty,1,50.0,completed,0,0
O0000134,2026-05-01,S010,P009,Wuxi,Dairy,1,60.0,completed,0,0
O0000135,2026-05-01,S010,P015,Wuxi,Ready Meal,1,73.0,refunded,0,1
O0000136,2026-05-01,S010,P003,Wuxi,Coffee,1,81.0,completed,0,0
O0000137,2026-05-01,S010,P008,Wuxi,Snack,1,63.0,completed,0,0
O0000138,2026-05-01,S010,P017,Wuxi,Beauty,1,48.0,completed,0,0
O0000139,2026-05-01,S010,P015,Wuxi,Ready Meal,1,73.0,completed,0,0
O0000140,2026-05-01,S010,P002,Wuxi,Coffee,3,207.0,completed,0,0
O0000141,2026-05-01,S010,P006,Wuxi,Snack,3,66.0,completed,0,0
O0000142,2026-05-01,S010,P007,Wuxi,Snack,1,55.0,completed,0,0
O0000143,2026-05-01,S010,P002,Wuxi,Coffee,1,69.0,completed,0,0
O0000144,2026-05-01,S010,P019,Wuxi,Beauty,1,50.0,completed,0,0
O0000145,2026-05-01,S011,P014,Shanghai,Ready Meal,3,192.0,completed,0,0
O0000146,2026-05-01,S011,P006,Shanghai,Snack,2,44.0,completed,0,0
O0000147,2026-05-01,S011,P003,Shanghai,Coffee,2,162.0,completed,0,0
O0000148,2026-05-01,S011,P010,Shanghai,Dairy,1,65.0,completed,0,0
O0000149,2026-05-01,S011,P014,Shanghai,Ready Meal,1,64.0,completed,0,0
O0000150,2026-05-01,S011,P017,Shanghai,Beauty,2,96.0,completed,0,0
O0000151,2026-05-01,S011,P003,Shanghai,Coffee,1,81.0,completed,0,0
O0000152,2026-05-01,S011,P009,Shanghai,Dairy,1,60.0,completed,0,0
O0000153,2026-05-01,S011,P003,Shanghai,Coffee,1,81.0,completed,0,0
O0000154,2026-05-01,S011,P019,Shanghai,Beauty,1,50.0,completed,0,0
O0000155,2026-05-01,S011,P011,Shanghai,Dairy,1,45.0,completed,0,0
O0000156,2026-05-01,S011,P002,Shanghai,Coffee,2,138.0,completed,0,0
O0000157,2026-05-01,S011,P019,Shanghai,Beauty,2,100.0,completed,0,0
O0000158,2026-05-01,S011,P018,Shanghai,Beauty,1,66.0,completed,0,0
O0000159,2026-05-01,S011,P014,Shanghai,Ready Meal,1,64.0,completed,0,0
O0000160,2026-05-01,S011,P015,Shanghai,Ready Meal,3,219.0,completed,0,0
O0000161,2026-05-01,S011,P012,Shanghai,Dairy,1,73.0,completed,0,0
O0000162,2026-05-01,S011,P008,Shanghai,Snack,1,63.0,completed,0,0
O0000163,2026-05-01,S011,P003,Shanghai,Coffee,3,243.0,completed,0,0
O0000164,2026-05-01,S011,P001,Shanghai,Coffee,2,166.0,completed,0,0
O0000165,2026-05-01,S012,P014,Hangzhou,Ready Meal,3,192.0,completed,0,0
O0000166,2026-05-01,S012,P015,Hangzhou,Ready Meal,1,73.0,refunded,0,1
O0000167,2026-05-01,S012,P015,Hangzhou,Ready Meal,2,146.0,completed,0,0
O0000168,2026-05-01,S012,P012,Hangzhou,Dairy,1,73.0,completed,0,0
O0000169,2026-05-01,S012,P008,Hangzhou,Snack,3,189.0,completed,0,0
O0000170,2026-05-01,S012,P018,Hangzhou,Beauty,2,132.0,completed,0,0
O0000171,2026-05-01,S012,P001,Hangzhou,Coffee,1,83.0,completed,0,0
O0000172,2026-05-01,S012,P017,Hangzhou,Beauty,1,48.0,completed,0,0
O0000173,2026-05-01,S012,P009,Hangzhou,Dairy,3,180.0,completed,0,0
O0000174,2026-05-01,S012,P020,Hangzhou,Beauty,1,55.0,completed,0,0
O0000175,2026-05-01,S012,P001,Hangzhou,Coffee,1,83.0,completed,0,0
O0000176,2026-05-01,S012,P011,Hangzhou,Dairy,2,90.0,completed,0,0
O0000177,2026-05-01,S012,P005,Hangzhou,Snack,1,47.0,completed,0,0
O0000178,2026-05-01,S013,P010,Nanjing,Dairy,3,195.0,completed,0,0
O0000179,2026-05-01,S013,P002,Nanjing,Coffee,2,138.0,completed,0,0
O0000180,2026-05-01,S013,P010,Nanjing,Dairy,1,65.0,completed,0,0
O0000181,2026-05-01,S013,P015,Nanjing,Ready Meal,1,73.0,completed,0,0
O0000182,2026-05-01,S013,P020,Nanjing,Beauty,1,55.0,completed,0,0
O0000183,2026-05-01,S013,P007,Nanjing,Snack,3,165.0,completed,0,0
O0000184,2026-05-01,S013,P014,Nanjing,Ready Meal,1,64.0,completed,0,0
O0000185,2026-05-01,S013,P001,Nanjing,Coffee,1,83.0,completed,0,0
O0000186,2026-05-01,S013,P004,Nanjing,Coffee,1,40.0,completed,0,0
O0000187,2026-05-01,S013,P011,Nanjing,Dairy,1,45.0,completed,0,0
O0000188,2026-05-01,S013,P008,Nanjing,Snack,1,63.0,completed,0,0
O0000189,2026-05-01,S014,P001,Nanjing,Coffee,1,83.0,completed,0,0
O0000190,2026-05-01,S014,P015,Nanjing,Ready Meal,3,219.0,completed,0,0
O0000191,2026-05-01,S014,P018,Nanjing,Beauty,3,198.0,completed,0,0
O0000192,2026-05-01,S014,P002,Nanjing,Coffee,2,138.0,completed,0,0
O0000193,2026-05-01,S014,P001,Nanjing,Coffee,1,83.0,completed,0,0
O0000194,2026-05-01,S014,P004,Nanjing,Coffee,1,40.0,completed,0,0
O0000195,2026-05-01,S014,P003,Nanjing,Coffee,3,243.0,completed,0,0
O0000196,2026-05-01,S014,P014,Nanjing,Ready Meal,1,64.0,completed,0,0
O0000197,2026-05-01,S014,P008,Nanjing,Snack,1,63.0,completed,0,0
O0000198,2026-05-01,S014,P005,Nanjing,Snack,1,47.0,completed,0,0
O0000199,2026-05-01,S014,P002,Nanjing,Coffee,1,69.0,completed,0,0
O0000200,2026-05-01,S014,P020,Nanjing,Beauty,1,55.0,completed,0,0
O0000201,2026-05-01,S014,P018,Nanjing,Beauty,2,132.0,completed,0,0
O0000202,2026-05-01,S014,P014,Nanjing,Ready Meal,2,128.0,completed,0,0
O0000203,2026-05-01,S014,P002,Nanjing,Coffee,1,69.0,completed,0,0
O0000204,2026-05-01,S015,P007,Suzhou,Snack,1,55.0,completed,0,0
O0000205,2026-05-01,S015,P006,Suzhou,Snack,2,44.0,completed,0,0
O0000206,2026-05-01,S015,P012,Suzhou,Dairy,1,73.0,completed,0,0
O0000207,2026-05-01,S015,P008,Suzhou,Snack,1,63.0,completed,0,0
O0000208,2026-05-01,S015,P019,Suzhou,Beauty,1,50.0,completed,0,0
O0000209,2026-05-01,S015,P001,Suzhou,Coffee,3,249.0,completed,0,0
O0000210,2026-05-01,S015,P020,Suzhou,Beauty,2,110.0,completed,0,0
O0000211,2026-05-01,S015,P012,Suzhou,Dairy,1,73.0,completed,0,0
O0000212,2026-05-01,S015,P008,Suzhou,Snack,3,189.0,completed,0,0
O0000213,2026-05-01,S015,P001,Suzhou,Coffee,2,166.0,completed,0,0
O0000214,2026-05-01,S015,P008,Suzhou,Snack,3,189.0,completed,0,0
O0000215,2026-05-01,S015,P013,Suzhou,Ready Meal,1,30.0,completed,0,0
O0000216,2026-05-01,S015,P009,Suzhou,Dairy,1,60.0,completed,0,0
O0000217,2026-05-01,S015,P019,Suzhou,Beauty,1,50.0,completed,0,0
O0000218,2026-05-01,S015,P001,Suzhou,Coffee,1,83.0,completed,0,0
O0000219,2026-05-01,S016,P015,Hangzhou,Ready Meal,1,73.0,completed,0,0
O0000220,2026-05-01,S016,P020,Hangzhou,Beauty,3,165.0,completed,0,0
O0000221,2026-05-01,S016,P012,Hangzhou,Dairy,1,73.0,completed,0,0
O0000222,2026-05-01,S016,P011,Hangzhou,Dairy,1,45.0,completed,0,0
O0000223,2026-05-01,S016,P012,Hangzhou,Dairy,2,146.0,refunded,0,1
O0000224,2026-05-01,S016,P004,Hangzhou,Coffee,1,40.0,completed,0,0
O0000225,2026-05-01,S016,P010,Hangzhou,Dairy,1,65.0,completed,0,0
O0000226,2026-05-01,S016,P014,Hangzhou,Ready Meal,1,64.0,completed,0,0
O0000227,2026-05-01,S016,P017,Hangzhou,Beauty,3,144.0,completed,0,0
O0000228,2026-05-01,S016,P004,Hangzhou,Coffee,1,40.0,completed,0,0
O0000229,2026-05-01,S016,P007,Hangzhou,Snack,2,110.0,completed,0,0
O0000230,2026-05-01,S016,P001,Hangzhou,Coffee,3,249.0,completed,0,0
O0000231,2026-05-01,S016,P001,Hangzhou,Coffee,2,166.0,completed,0,0
O0000232,2026-05-01,S016,P018,Hangzhou,Beauty,1,66.0,completed,0,0
O0000233,2026-05-01,S016,P015,Hangzhou,Ready Meal,1,73.0,refunded,0,1
O0000234,2026-05-01,S016,P002,Hangzhou,Coffee,1,69.0,completed,0,0
O0000235,2026-05-01,S016,P002,Hangzhou,Coffee,1,69.0,completed,0,0
O0000236,2026-05-01,S017,P007,Suzhou,Snack,1,55.0,completed,0,0
O0000237,2026-05-01,S017,P008,Suzhou,Snack,1,63.0,completed,0,0
O0000238,2026-05-01,S017,P012,Suzhou,Dairy,1,73.0,completed,0,0
O0000239,2026-05-01,S017,P002,Suzhou,Coffee,1,69.0,refunded,0,1
O0000240,2026-05-01,S017,P019,Suzhou,Beauty,2,100.0,completed,0,0
O0000241,2026-05-01,S017,P010,Suzhou,Dairy,2,130.0,completed,0,0
O0000242,2026-05-01,S017,P010,Suzhou,Dairy,2,130.0,completed,0,0
O0000243,2026-05-01,S017,P005,Suzhou,Snack,1,47.0,completed,0,0
O0000244,2026-05-01,S017,P001,Suzhou,Coffee,1,83.0,completed,0,0
O0000245,2026-05-01,S017,P012,Suzhou,Dairy,2,146.0,completed,0,0
O0000246,2026-05-01,S017,P003,Suzhou,Coffee,1,81.0,completed,0,0
O0000247,2026-05-01,S017,P014,Suzhou,Ready Meal,1,64.0,completed,0,0
O0000248,2026-05-01,S017,P015,Suzhou,Ready Meal,1,73.0,completed,0,0
O0000249,2026-05-01,S017,P019,Suzhou,Beauty,3,150.0,refunded,0,1
O0000250,2026-05-01,S017,P009,Suzhou,Dairy,2,120.0,completed,0,0
O0000251,2026-05-01,S017,P018,Suzhou,Beauty,2,132.0,completed,0,0
O0000252,2026-05-01,S017,P020,Suzhou,Beauty,3,165.0,refunded,0,1
O0000253,2026-05-01,S017,P003,Suzhou,Coffee,1,81.0,completed,0,0
O0000254,2026-05-01,S017,P011,Suzhou,Dairy,1,45.0,completed,0,0
O0000255,2026-05-01,S017,P013,Suzhou,Ready Meal,1,30.0,completed,0,0
O0000256,2026-05-01,S017,P010,Suzhou,Dairy,3,195.0,completed,0,0
O0000257,2026-05-01,S017,P015,Suzhou,Ready Meal,1,73.0,completed,0,0
O0000258,2026-05-01,S017,P004,Suzhou,Coffee,1,40.0,completed,0,0
O0000259,2026-05-01,S018,P001,Hangzhou,Coffee,2,166.0,completed,0,0
O0000260,2026-05-01,S018,P008,Hangzhou,Snack,2,126.0,completed,0,0
O0000261,2026-05-01,S018,P013,Hangzhou,Ready Meal,2,60.0,completed,0,0
O0000262,2026-05-01,S018,P010,Hangzhou,Dairy,1,65.0,completed,0,0
O0000263,2026-05-01,S018,P010,Hangzhou,Dairy,1,65.0,completed,0,0
O0000264,2026-05-01,S018,P010,Hangzhou,Dairy,1,65.0,completed,0,0
O0000265,2026-05-01,S018,P019,Hangzhou,Beauty,2,100.0,refunded,0,1
O0000266,2026-05-01,S018,P011,Hangzhou,Dairy,2,90.0,completed,0,0
O0000267,2026-05-01,S018,P019,Hangzhou,Beauty,3,150.0,completed,0,0
O0000268,2026-05-01,S018,P006,Hangzhou,Snack,1,22.0,completed,0,0
O0000269,2026-05-01,S018,P002,Hangzhou,Coffee,1,69.0,completed,0,0
O0000270,2026-05-01,S018,P013,Hangzhou,Ready Meal,2,60.0,completed,0,0
O0000271,2026-05-01,S018,P018,Hangzhou,Beauty,2,132.0,completed,0,0
O0000272,2026-05-01,S019,P011,Suzhou,Dairy,1,45.0,completed,0,0
O0000273,2026-05-01,S019,P020,Suzhou,Beauty,3,165.0,completed,0,0
O0000274,2026-05-01,S019,P003,Suzhou,Coffee,3,243.0,refunded,0,1
O0000275,2026-05-01,S019,P020,Suzhou,Beauty,3,165.0,completed,0,0
O0000276,2026-05-01,S019,P018,Suzhou,Beauty,1,66.0,completed,0,0
O0000277,2026-05-01,S019,P001,Suzhou,Coffee,3,249.0,completed,0,0
O0000278,2026-05-01,S019,P008,Suzhou,Snack,3,189.0,completed,0,0
O0000279,2026-05-01,S019,P002,Suzhou,Coffee,1,69.0,completed,0,0
O0000280,2026-05-01,S019,P008,Suzhou,Snack,1,63.0,completed,0,0
O0000281,2026-05-01,S019,P014,Suzhou,Ready Meal,1,64.0,completed,0,0
O0000282,2026-05-01,S019,P019,Suzhou,Beauty,3,150.0,completed,0,0
O0000283,2026-05-01,S019,P019,Suzhou,Beauty,1,50.0,completed,0,0
O0000284,2026-05-01,S019,P017,Suzhou,Beauty,3,144.0,completed,0,0
O0000285,2026-05-01,S019,P003,Suzhou,Coffee,1,81.0,completed,0,0
O0000286,2026-05-01,S019,P019,Suzhou,Beauty,2,100.0,completed,0,0
O0000287,2026-05-01,S019,P018,Suzhou,Beauty,2,132.0,completed,0,0
O0000288,2026-05-01,S019,P016,Suzhou,Ready Meal,2,24.0,completed,0,0
O0000289,2026-05-01,S019,P003,Suzhou,Coffee,3,243.0,completed,0,0
O0000290,2026-05-01,S019,P018,Suzhou,Beauty,1,66.0,completed,0,0
O0000291,2026-05-01,S020,P009,Shanghai,Dairy,1,60.0,completed,0,0
O0000292,2026-05-01,S020,P010,Shanghai,Dairy,1,65.0,completed,0,0
O0000293,2026-05-01,S020,P006,Shanghai,Snack,1,22.0,completed,0,0
O0000294,2026-05-01,S020,P014,Shanghai,Ready Meal,1,64.0,completed,0,0
O0000295,2026-05-01,S020,P007,Shanghai,Snack,1,55.0,completed,0,0
O0000296,2026-05-01,S020,P010,Shanghai,Dairy,1,65.0,completed,0,0
O0000297,2026-05-01,S020,P005,Shanghai,Snack,1,47.0,completed,0,0
O0000298,2026-05-01,S020,P007,Shanghai,Snack,1,55.0,completed,0,0
O0000299,2026-05-01,S020,P014,Shanghai,Ready Meal,1,64.0,completed,0,0
O0000300,2026-05-01,S020,P015,Shanghai,Ready Meal,1,73.0,completed,0,0
O0000301,2026-05-01,S020,P010,Shanghai,Dairy,1,65.0,completed,0,0
O0000302,2026-05-01,S020,P008,Shanghai,Snack,1,63.0,completed,0,0
O0000303,2026-05-01,S020,P015,Shanghai,Ready Meal,1,73.0,completed,0,0
O0000304,2026-05-01,S020,P003,Shanghai,Coffee,2,162.0,completed,0,0
O0000305,2026-05-01,S020,P012,Shanghai,Dairy,1,73.0,completed,0,0
O0000306,2026-05-01,S020,P009,Shanghai,Dairy,1,60.0,refunded,0,1
O0000307,2026-05-01,S020,P013,Shanghai,Ready Meal,2,60.0,completed,0,0
O0000308,2026-05-01,S020,P010,Shanghai,Dairy,2,130.0,completed,0,0
O0000309,2026-05-01,S020,P011,Shanghai,Dairy,3,135.0,completed,0,0
O0000310,2026-05-01,S020,P006,Shanghai,Snack,2,44.0,completed,0,0
O0000311,2026-05-01,S020,P012,Shanghai,Dairy,2,146.0,completed,0,0
O0000312,2026-05-01,S020,P020,Shanghai,Beauty,1,55.0,completed,0,0
O0000313,2026-05-01,S020,P012,Shanghai,Dairy,1,73.0,refunded,0,1
O0000314,2026-05-01,S020,P018,Shanghai,Beauty,3,198.0,completed,0,0
O0000315,2026-05-01,S020,P014,Shanghai,Ready Meal,2,128.0,completed,0,0
O0000316,2026-05-01,S020,P020,Shanghai,Beauty,1,55.0,completed,0,0
O0000317,2026-05-01,S020,P012,Shanghai,Dairy,2,146.0,completed,0,0
O0000318,2026-05-01,S020,P007,Shanghai,Snack,2,110.0,completed,0,0
O0000319,2026-05-01,S021,P015,Shanghai,Ready Meal,1,73.0,completed,0,0
O0000320,2026-05-01,S021,P008,Shanghai,Snack,1,63.0,completed,0,0
O0000321,2026-05-01,S021,P003,Shanghai,Coffee,1,81.0,completed,0,0
O0000322,2026-05-01,S021,P001,Shanghai,Coffee,2,166.0,completed,0,0
O0000323,2026-05-01,S021,P014,Shanghai,Ready Meal,2,128.0,completed,0,0
O0000324,2026-05-01,S021,P014,Shanghai,Ready Meal,1,64.0,completed,0,0
O0000325,2026-05-01,S021,P020,Shanghai,Beauty,2,110.0,completed,0,0
O0000326,2026-05-01,S021,P018,Shanghai,Beauty,1,66.0,completed,0,0
O0000327,2026-05-01,S021,P008,Shanghai,Snack,3,189.0,completed,0,0
